ecs3,timestamp,name,serialnumber,delivereddate,delivered,firmwareversion,pt,t1,t0,hts2,ecs1,rbs0,ras0,ecs4,ecs2,ecs13,ics12,ics11,ics13,ics15,ics9,ics3,ics2,ics1,ifs28,ifs29,ifs27,ifs6,ifs18,ifs4,ifs3,ifs2,ifs1,hts4,id,partition_0,partition_1,partition_2,partition_3
,1593489772,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:52.266,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489776,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:02:56.961,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489783,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:03.350,1.59349E+12,1,PIF0,,,,,,,1.26,-61,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489787,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:07.608,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489794,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:14.336,1.59349E+12,1,PIF0,,,,,,,1.26,-63,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489798,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:19.122,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489805,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:25.310,1.59349E+12,1,PIF0,,,,,,,1.26,-62,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489809,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:29.718,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489816,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:36.339,1.59349E+12,1,PIF0,,,,,,,1.26,-59,FOUNDATION,,,,,,,,,,,,,,,,,,,,2020,6,30,3
,1593489820,PNRA0PIF013338BJG6,PNRA0PIF013338BJG6,2020-06-30 4:03:41.204,1.59349E+12,1,PIF0,71,77,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020,6,30,3
